,Indicator,State,Time Period End Date,Value
1028,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-06,31.8
1029,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-06,36.5
1030,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-06,39.5
1031,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-06,34.8
1032,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-06,33.0
1033,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-06,26.0
1034,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-06,37.0
1035,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-06,38.6
1036,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-06,39.5
1037,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-06,35.1
1038,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-06,34.0
1039,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-06,35.6
1040,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-06,29.7
1041,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-06,33.6
1042,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-06,36.9
1043,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-06,34.5
1044,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-06,35.3
1045,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-06,31.4
1046,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-06,36.7
1047,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-06,38.9
1048,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-06,26.7
1049,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-06,32.9
1209,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-06,36.9
1210,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-06,35.2
1211,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-06,36.8
1212,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-06,38.2
1213,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-06,39.7
1214,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-06,34.7
1215,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-06,32.8
1216,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-06,33.0
1217,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-06,39.5
1218,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-06,40.7
1219,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-06,35.7
1220,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-06,27.5
1221,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-06,32.0
1222,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-06,39.5
1223,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-06,32.1
1224,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-06,34.9
1225,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-06,36.6
1226,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-06,37.6
1227,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-06,36.5
1228,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-06,35.4
1229,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-06,26.9
1230,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-06,31.0
1231,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-06,28.1
1232,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-06,31.0
1233,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-06,38.4
1234,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-06,29.5
1235,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-06,30.4
1236,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-06,31.0
1237,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-06,38.5
1238,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-06,35.1
1239,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-06,33.8
1240,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-06,34.7
1241,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-06,38.6
1242,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-06,36.2
1243,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-06,23.0
1244,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-06,36.9
1245,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-06,33.7
1246,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-06,40.5
1247,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-06,33.9
1248,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-06,29.2
1249,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-06,31.4
1250,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-06,29.8
1251,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-06,38.0
1252,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-06,39.6
1253,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-06,34.1
1254,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-06,33.7
1255,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-06,36.5
1256,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-06,31.9
1257,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-06,38.9
1258,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-06,28.3
1259,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-06,29.4
1419,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-06,38.1
1420,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-06,36.5
1421,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-06,33.3
1422,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-06,39.0
1423,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-06,37.9
1424,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-06,33.5
1425,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-06,38.7
1426,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-06,34.7
1427,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-06,28.9
1428,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-06,41.8
1429,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-06,37.1
1430,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-06,35.3
1431,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-06,27.8
1432,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-06,34.6
1433,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-06,39.3
1434,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-06,31.6
1435,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-06,37.1
1436,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-06,31.9
1437,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-06,43.5
1438,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-06,37.9
1439,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-06,38.3
1440,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-06,29.2
1441,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-06,32.4
1442,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-06,30.5
1443,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-06,37.5
1444,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-06,36.5
1445,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-06,34.2
1446,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-06,29.7
