,Indicator,Group,State,Subgroup,Time Period End Date,Value
115,Symptoms of Anxiety Disorder,By State,Montana,Montana,2020-05,22.8
116,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2020-05,24.2
117,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2020-05,31.4
118,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2020-05,31.3
119,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2020-05,31.4
120,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2020-05,27.9
121,Symptoms of Anxiety Disorder,By State,New York,New York,2020-05,36.1
122,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2020-05,30.0
123,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2020-05,21.7
124,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2020-05,31.1
125,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2020-05,28.6
126,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2020-05,31.5
127,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2020-05,31.0
128,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2020-05,27.6
129,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2020-05,27.8
130,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2020-05,22.1
131,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2020-05,28.2
132,Symptoms of Anxiety Disorder,By State,Texas,Texas,2020-05,29.7
133,Symptoms of Anxiety Disorder,By State,Utah,Utah,2020-05,28.9
134,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2020-05,30.6
135,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2020-05,28.5
136,Symptoms of Anxiety Disorder,By State,Washington,Washington,2020-05,30.6
137,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2020-05,28.8
138,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2020-05,27.1
139,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2020-05,24.9
159,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2020-05,30.3
160,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2020-05,31.5
161,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2020-05,36.4
162,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2020-05,38.0
163,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2020-05,37.4
164,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2020-05,35.9
165,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2020-05,40.2
166,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2020-05,34.7
167,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2020-05,37.6
168,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2020-05,36.8
169,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2020-05,36.2
170,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2020-05,37.0
171,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2020-05,33.3
172,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2020-05,36.6
173,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2020-05,37.8
174,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2020-05,28.2
175,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2020-05,32.5
176,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2020-05,36.4
177,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2020-05,38.9
178,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2020-05,34.3
179,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2020-05,32.9
180,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2020-05,40.6
181,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2020-05,39.4
182,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2020-05,32.4
183,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2020-05,34.5
184,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2020-05,35.2
185,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2020-05,27.3
186,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2020-05,28.6
187,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2020-05,34.8
188,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2020-05,34.8
189,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2020-05,37.6
190,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2020-05,34.6
191,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2020-05,41.4
192,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2020-05,34.6
193,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2020-05,27.7
194,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2020-05,35.1
195,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2020-05,34.1
196,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2020-05,36.8
197,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-05,35.1
198,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2020-05,34.4
199,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2020-05,33.3
200,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2020-05,25.6
201,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2020-05,33.4
202,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2020-05,34.9
203,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2020-05,34.7
204,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2020-05,33.9
205,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2020-05,33.7
206,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2020-05,35.0
207,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2020-05,34.3
208,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2020-05,31.1
209,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2020-05,31.0
229,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2020-05,22.5
230,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2020-05,25.1
231,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2020-05,25.3
232,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2020-05,24.5
233,Symptoms of Depressive Disorder,By State,California,California,2020-05,22.8
234,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2020-05,23.6
235,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2020-05,21.5
236,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2020-05,23.3
237,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2020-05,30.3
238,Symptoms of Depressive Disorder,By State,Florida,Florida,2020-05,24.8
239,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2020-05,25.6
240,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2020-05,16.8
241,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2020-05,17.0
242,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2020-05,29.2
243,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2020-05,19.9
244,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2020-05,18.1
245,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2020-05,16.7
246,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2020-05,25.6
247,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2020-05,30.0
248,Symptoms of Depressive Disorder,By State,Maine,Maine,2020-05,17.1
249,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2020-05,24.6
250,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2020-05,18.9
251,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2020-05,23.4
252,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2020-05,18.4
253,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2020-05,35.5
254,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2020-05,24.1
255,Symptoms of Depressive Disorder,By State,Montana,Montana,2020-05,20.8
256,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2020-05,21.6
257,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2020-05,31.2
258,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2020-05,23.3
259,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2020-05,26.4
260,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2020-05,29.0
261,Symptoms of Depressive Disorder,By State,New York,New York,2020-05,29.2
262,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2020-05,20.2
263,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2020-05,20.2
264,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2020-05,26.4
265,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2020-05,20.7
266,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2020-05,17.8
267,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-05,23.0
268,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2020-05,22.8
269,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2020-05,25.6
270,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2020-05,20.5
271,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2020-05,21.7
272,Symptoms of Depressive Disorder,By State,Texas,Texas,2020-05,25.7
273,Symptoms of Depressive Disorder,By State,Utah,Utah,2020-05,22.6
274,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2020-05,26.8
275,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2020-05,20.6
276,Symptoms of Depressive Disorder,By State,Washington,Washington,2020-05,22.9
277,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2020-05,31.8
278,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2020-05,22.9
279,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2020-05,18.6
299,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2020-05,27.2
300,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2020-05,27.4
301,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2020-05,34.2
302,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2020-05,29.1
303,Symptoms of Anxiety Disorder,By State,California,California,2020-05,31.4
304,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2020-05,29.7
305,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2020-05,29.1
306,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2020-05,24.9
307,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2020-05,36.2
308,Symptoms of Anxiety Disorder,By State,Florida,Florida,2020-05,27.6
309,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2020-05,29.5
310,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2020-05,20.4
311,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2020-05,25.0
312,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2020-05,35.7
313,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2020-05,31.5
314,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2020-05,20.3
315,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2020-05,25.1
316,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2020-05,29.6
317,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2020-05,34.6
318,Symptoms of Anxiety Disorder,By State,Maine,Maine,2020-05,28.9
319,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2020-05,30.1
320,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2020-05,28.7
321,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2020-05,27.0
322,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2020-05,22.9
323,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2020-05,38.3
324,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2020-05,37.8
325,Symptoms of Anxiety Disorder,By State,Montana,Montana,2020-05,24.9
326,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2020-05,29.6
327,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2020-05,34.0
328,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2020-05,30.4
329,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2020-05,36.3
330,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2020-05,30.2
331,Symptoms of Anxiety Disorder,By State,New York,New York,2020-05,33.0
332,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2020-05,25.9
333,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2020-05,25.4
334,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2020-05,26.4
335,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2020-05,27.2
336,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2020-05,26.2
337,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2020-05,28.4
338,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2020-05,26.9
339,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2020-05,27.9
340,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2020-05,26.1
341,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2020-05,29.6
342,Symptoms of Anxiety Disorder,By State,Texas,Texas,2020-05,32.4
343,Symptoms of Anxiety Disorder,By State,Utah,Utah,2020-05,26.0
344,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2020-05,31.8
345,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2020-05,26.8
346,Symptoms of Anxiety Disorder,By State,Washington,Washington,2020-05,28.5
347,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2020-05,34.6
348,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2020-05,25.6
349,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2020-05,22.5
369,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2020-05,30.6
370,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2020-05,35.7
371,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2020-05,38.4
372,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2020-05,33.0
373,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2020-05,34.4
374,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2020-05,32.2
375,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2020-05,36.0
376,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2020-05,31.6
377,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2020-05,40.6
378,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2020-05,33.6
379,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2020-05,34.3
380,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2020-05,27.1
381,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2020-05,29.2
382,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2020-05,41.8
383,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2020-05,34.9
384,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2020-05,26.1
385,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2020-05,28.0
386,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2020-05,37.7
387,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2020-05,42.8
388,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2020-05,32.9
389,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2020-05,34.6
390,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2020-05,31.0
391,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2020-05,33.4
392,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2020-05,27.2
393,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2020-05,48.4
394,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2020-05,41.3
395,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2020-05,27.6
396,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2020-05,33.4
397,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2020-05,38.1
398,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2020-05,35.0
399,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2020-05,39.6
400,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2020-05,39.8
401,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2020-05,36.9
402,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2020-05,28.1
403,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2020-05,28.6
404,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2020-05,32.8
405,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2020-05,31.0
406,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2020-05,29.9
407,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-05,32.0
408,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2020-05,33.8
409,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2020-05,33.1
410,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2020-05,29.8
411,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2020-05,34.7
412,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2020-05,35.9
413,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2020-05,30.4
414,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2020-05,35.7
415,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2020-05,30.6
416,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2020-05,35.0
417,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2020-05,39.0
418,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2020-05,29.7
419,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2020-05,27.9
439,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2020-05,19.6
440,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2020-05,23.6
441,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2020-05,20.0
442,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2020-05,28.9
443,Symptoms of Depressive Disorder,By State,California,California,2020-05,28.7
444,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2020-05,23.7
445,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2020-05,20.2
446,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2020-05,21.8
447,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2020-05,25.9
448,Symptoms of Depressive Disorder,By State,Florida,Florida,2020-05,24.3
449,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2020-05,24.8
450,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2020-05,21.3
451,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2020-05,18.1
452,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2020-05,24.3
453,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2020-05,24.5
454,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2020-05,18.6
